d,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7310918821,huntsville / decatur,18989,2014,bmw,5 series,,6 cylinders,diesel,78499,clean,automatic,WBAFV3C56ED685994,,,sedan,white,al
7310913611,huntsville / decatur,13958,2015,toyota,prius,,4 cylinders,hybrid,102524,clean,automatic,JTDKN3DU5F1949085,fwd,,sedan,green,al
7310913434,huntsville / decatur,5998,2013,kia,rio,,4 cylinders,gas,204797,clean,automatic,KNADN4A37D6272029,fwd,,sedan,white,al
7310912503,huntsville / decatur,18897,2012,bmw,535i,,6 cylinders,gas,105766,clean,other,WBAFR7C54CC813857,rwd,,sedan,grey,al
7310912324,huntsville / decatur,14897,2012,jeep,grand cherokee,,6 cylinders,gas,112510,clean,other,1C4RJEAG7CC119745,rwd,,SUV,silver,al
7310888174,huntsville / decatur,28699,2018,infiniti,q50,,,gas,25578,clean,automatic,JN1EV7AR6JM433140,4wd,,sedan,black,al
7310880334,huntsville / decatur,11500,2014,chevrolet,equinox,good,4 cylinders,gas,96650,clean,automatic,2GNALBEK0E1171562,fwd,full-size,SUV,custom,al
7310880277,huntsville / decatur,10900,2009,nissan,titan,good,8 cylinders,gas,199912,clean,automatic,1N6BA07D59N309992,rwd,full-size,truck,silver,al
7310872369,huntsville / decatur,38590,2020,lincoln,corsair sport utility 4d,good,,gas,6330,clean,other,5LMCJ1D96LUL02150,,,other,silver,al
7310872134,huntsville / decatur,23590,2018,mitsubishi,outlander phev gt,good,,other,48933,clean,other,JA4J24A58JZ011951,4wd,,other,white,al
7310842766,huntsville / decatur,45990,,,des-Benz E-Class,,6 cylinders,gas,38165,clean,automatic,WDD1J6GBXJF015072,,,coupe,red,al
7310837765,huntsville / decatur,5900,2005,acura,tl,good,6 cylinders,gas,148542,clean,automatic,,fwd,mid-size,sedan,blue,al
7310829882,huntsville / decatur,33590,2017,cadillac,xt5 platinum sport,good,6 cylinders,gas,28891,clean,other,1GYKNFRS1HZ312573,,,other,black,al
7310829436,huntsville / decatur,1950,1985,,merkur xr4ti,good,4 cylinders,gas,28500,clean,manual,,rwd,compact,hatchback,black,al
7310803912,huntsville / decatur,6989,2009,chrysler,town & country,,6 cylinders,gas,146391,clean,automatic,2A8HR54X99R666797,fwd,,van,white,al
7310803761,huntsville / decatur,26995,2017,ford,f-150,,6 cylinders,gas,114741,clean,automatic,1FTEW1C8XHKC00590,rwd,,truck,red,al
7310795129,huntsville / decatur,3277,2004,honda,accord ex,good,4 cylinders,gas,256000,clean,automatic,,fwd,,sedan,green,al
7310792831,huntsville / decatur,5177,2009,honda,civic sedan,excellent,4 cylinders,gas,146000,clean,automatic,,fwd,,sedan,grey,al
7310786623,huntsville / decatur,7177,2013,dodge,charger se 4dr sedan,excellent,6 cylinders,gas,170000,rebuilt,automatic,,,,,white,al
7310784939,huntsville / decatur,35590,2016,lexus,ls 460 sedan 4d,good,8 cylinders,gas,56295,clean,other,JTHCL5EF7G5026041,,,sedan,,al
7310784052,huntsville / decatur,7477,2016,kia,forte lx,excellent,4 cylinders,gas,84000,clean,automatic,,fwd,,sedan,grey,al
7310779520,huntsville / decatur,6977,2011,acura,tsx w/tech,excellent,4 cylinders,gas,167000,rebuilt,automatic,,fwd,,sedan,black,al
